imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.022926695796894804, 0.030056775619467516, -0.00838159410467761, 7.631304500079833e-10, -0.003430360459036496, -2.2246363293912498e-07, -1.9966874176775675, -0.5000009861289353, 16984000000, 
-0.08566662264794983, 0.024704738998562563, -0.04127284785667515, 2.290927131957747e-07, -0.005855090866305091, -3.91270978413262e-05, -1.989494847780754, -0.5000009723127011, 16989000000, 
-0.04747091846976054, 0.01232501979971407, -0.04381423337635687, 2.8979535070171744e-07, -0.005313174681792865, -5.454278619801177e-05, -1.9886887650143632, -0.5000009580455909, 17044000000, 
-0.044919629117917984, -0.00319895362990877, -0.04412541846010954, 1.1096893387491686e-07, -0.005152531944089474, -2.153677746767015e-05, -1.9884033517946995, -0.5000009609634504, 17144000000, 
-0.0388117890366548, 0.007758716302198902, -0.04123352817561555, 2.169983292094696e-07, -0.007218521636111779, -3.0061325593858673e-05, -1.9882647246924818, -0.5000009568659054, 17244000000, 
-0.093794945105498, -0.01296051928136029, -0.06523737093476356, -1.9630507722495318e-07, -0.007183212325092737, 2.7328313342376222e-05, -1.9875456836641807, -0.5000009719713525, 17344000000, 
-0.04567308312826372, -0.03274886403437179, -0.05592682499100214, -8.575509583940046e-07, -0.006931833647275227, 0.00012371199339601747, -1.9875363424163925, -0.5000009962733093, 17444000000, 
-0.05244939671160044, -0.029748722566215163, -0.05408117312040689, -1.075596446227507e-06, -0.006646078409956996, 0.0001618392651847252, -1.98751286101796, -0.5000010107574648, 17539000000, 
-0.05136350503969078, -0.010689553522349796, -0.05259964015518141, -7.653285559053446e-07, -0.006397930806413238, 0.00011962126178954374, -1.9875109443635763, -0.5000010149783436, 17644000000, 
-0.06556874924762637, -0.003077068117506467, -0.05838136215274244, -4.726575838340302e-07, -0.006453368727075631, 7.324199248850559e-05, -1.9874743235638979, -0.5000010191474813, 17744000000, 
-0.020437047771827435, -0.01309050349847018, -0.04060778577082302, -4.584754472999645e-07, -0.005841683629962456, 7.848344353131481e-05, -1.9875455583573558, -0.5000010255632209, 17844000000, 
