e, e_dot, e_int, stamp, 
-2.177053542673152, 0.0, -0.43541070853463043, 30621000000, 
-2.2234254285216357, -0.15457295282827874, -0.438502167591196, 40787000000, 
-2.214108470557952, -0.12351642628266675, -0.44097249611684936, 40889000000, 
-1.7102547290080081, 1.7105689983787586, -0.40985257520583973, 40991000000, 
-1.5013551163633188, 2.3758445139821114, -0.36171455439528527, 41093000000, 
-1.3930168446255795, 1.0574596146080955, -0.30697511266646044, 41195000000, 
-1.3309385564069078, 0.5680551998547031, -0.2816873678263871, 41297000000, 
-1.3646508961435093, 0.09455316160690064, -0.27257375314506643, 41399000000, 
-1.3953665339346784, -0.2147599250925684, -0.27273039909900637, 41501000000, 
-1.386876906902611, -0.07408670253033896, -0.2764596224653866, 41603000000, 
-1.370602733599224, 0.08254600111818149, -0.2768564116291009, 41705000000, 
-1.3471694982405071, 0.13235802887367956, -0.27364327591615617, 41807000000, 
-1.3186697744560019, 0.17310986381074014, -0.26909613375304886, 41909000000, 
-1.291226683035759, 0.18647605068249362, -0.26380439704881786, 41977000000, 
-1.2628856049340886, 0.18594723173971076, -0.25818547082838994, 42079000000, 
-1.2332693485485804, 0.19319111495726218, -0.25249210910122855, 42181000000, 
-1.208295820258523, 0.1819659489185521, -0.24696338491607947, 42283000000, 
-1.1871062984833538, 0.1538768335507553, -0.24191143115269712, 42385000000, 
-1.1679022541681905, 0.13464522030110837, -0.2375536248606711, 42487000000, 
-1.1505139577991559, 0.1219744689473264, -0.23370150069671336, 42589000000, 
-1.134448188523748, 0.1115135521481414, -0.23019096003273962, 42691000000, 
-1.1160840841751916, 0.11476624541321441, -0.2267364153665397, 42793000000, 
-1.1009403329817613, 0.11169285180662254, -0.22343150704538006, 42895000000, 
-1.0840312445480687, 0.10684279875707636, -0.22007037744700142, 42997000000, 
-1.068370408160657, 0.10856641607034738, -0.21688946571269915, 43099000000, 
-1.0532959388700147, 0.10245101892684645, -0.21371317277191604, 43201000000, 
-1.0381305536750063, 0.10079951495216936, -0.21065312671371186, 43303000000, 
-1.0255886959388167, 0.09235747643732657, -0.20780101256558917, 43405000000, 
-1.0108220645848105, 0.09102829696731929, -0.20496942094657555, 43507000000, 
-0.9991608794335445, 0.08809272168424087, -0.20237144266381143, 43609000000, 
-0.9888087494030371, 0.07337771727257802, -0.1999194462280928, 43711000000, 
-0.9813320029228978, 0.059429588368822284, -0.1979534421172986, 43779000000, 
-0.9712611098787931, 0.05849213174747995, -0.1960934574803152, 43881000000, 
-0.9647809285433451, 0.05517024793184241, -0.19449160275633573, 43983000000, 
-0.9583822404314208, 0.04292956482457422, -0.19296161859023725, 44085000000, 
-0.9532972484893008, 0.03827893351348107, -0.19176402783093777, 44187000000, 
-0.9466471062452428, 0.03911711395392666, -0.19055510634439762, 44289000000, 
-0.9394747665332113, 0.04607493985363161, -0.18929460808451698, 44391000000, 
-0.9354666670627241, 0.03726813060839588, -0.18810590265607854, 44493000000, 
-0.9308877800053632, 0.028623288426160205, -0.18705528090675325, 44595000000, 
-0.8675784099871295, 0.2262941902519818, -0.18226219047034778, 44697000000, 
-0.8451172495977048, 0.28590176802552786, -0.17623889597267983, 44799000000, 
-0.8234722132634413, 0.14702065574562737, -0.16907785818988505, 44901000000, 
-0.8006248198535322, 0.14830809914724222, -0.1646142855143119, 45003000000, 
-0.7824509147103926, 0.13673766184349567, -0.16043652985515774, 45105000000, 
-0.7654400939725408, 0.11728241960330472, -0.15656772190243104, 45173000000, 
-0.7469400120417453, 0.11836967556215772, -0.1529887347149786, 45275000000, 
-0.7304492781345395, 0.11663605279333744, -0.14952195894325504, 45377000000, 
-0.7138468143664238, 0.11031065891773828, -0.1460824069695139, 45479000000, 
-0.6979117930436183, 0.10845828363640415, -0.14281385903630545, 45581000000, 
-0.6821403224231406, 0.10568830647761078, -0.13959326198887884, 45683000000, 
-0.667114170077161, 0.10265874322152424, -0.13647775236959467, 45785000000, 
-0.652694508171423, 0.09815271417239184, -0.13346326671144831, 45887000000, 
-0.6389175341694213, 0.09398878635913228, -0.1305817474945337, 45989000000, 
-0.6253003057710398, 0.09131400800127754, -0.12779415654079226, 46091000000, 
-0.6121034832093319, 0.08938016986696458, -0.1250880882099862, 46193000000, 
-0.5989197516257567, 0.08793518048427688, -0.12242156937374189, 46295000000, 
-0.5860639994571453, 0.08679827917395559, -0.11980581561948227, 46397000000, 
-0.5737678496753382, 0.08383967316806167, -0.11725010671721602, 46499000000, 
-0.5617836093520019, 0.08093463368381126, -0.11477436389896568, 46601000000, 
-0.550103778242633, 0.07888023810901738, -0.11237701581799821, 46703000000, 
-0.5385840504095345, 0.07733186314155797, -0.11003142920027796, 46771000000, 
-0.5272863306320996, 0.07605815870177797, -0.10773161061895115, 46873000000, 
-0.5163926905847056, 0.07397119941609631, -0.10548420477508931, 46975000000, 
-0.5056889060256093, 0.0719914153549676, -0.10329119514949431, 47077000000, 
-0.49534839136777187, 0.07014766405644579, -0.10116199919853912, 47179000000, 
-0.4853371568294076, 0.06783916398733918, -0.09909163028151925, 47281000000, 
-0.4757133872411128, 0.06545001375553028, -0.09709326236255282, 47383000000, 
-0.46642249693672966, 0.06304886630892644, -0.09516486940048334, 47485000000, 
-0.45743095713901294, 0.06094143367366615, -0.09330445608779035, 47587000000, 
-0.4486330660765816, 0.059298102867160196, -0.09149910134348828, 47689000000, 
-0.44014858683556213, 0.057607901011502705, -0.08974750733674378, 47791000000, 
-0.43194915522288113, 0.05561303617900156, -0.088048720542335, 47893000000, 
-0.42396860375853684, 0.053933276923417615, -0.08640442305446534, 47995000000, 
-0.41621249862888554, 0.0524555219799853, -0.0848086838406869, 48097000000, 
-0.40869125727127376, 0.05092448829087696, -0.08325815731057974, 48199000000, 
-0.4012348647457653, 0.049925446277067444, -0.0817425747097283, 48267000000, 
