e, e_dot, e_int, stamp, 
-0.7404341787021544, 0.0, -0.14808683574043088, 38656000000, 
-0.7726089816294507, -0.10724934309098748, -0.15023182260225063, 48788000000, 
-0.7793945219813994, -0.12986781093081637, -0.15282917882086697, 48890000000, 
-0.7743311722469988, -0.0057406353918269355, -0.15508897839052327, 48992000000, 
-0.6610411131724481, 0.3945113626965043, -0.14765112049338974, 49094000000, 
-0.5983043657034102, 0.586756021811962, -0.13557844340819045, 49196000000, 
-0.5730502742312591, 0.2933027964706299, -0.12215971687380782, 49298000000, 
-0.5656575073612794, 0.10882286114043589, -0.11580080981972991, 49400000000, 
-0.5718524223335358, 0.003992839659077522, -0.11403734692840495, 49468000000, 
-0.5760930775661288, -0.034785234016164734, -0.11424020048406293, 49570000000, 
-0.5770246519113348, -0.017240765259329827, -0.11499801012073331, 49672000000, 
-0.5773431078000633, -0.004166767446448135, -0.1153640558185018, 49774000000, 
-0.5759340958941561, 0.0036351867239288924, -0.11535345704037027, 49876000000, 
-0.5735741552085932, 0.012563175304900106, -0.11512342392685418, 49978000000, 
-0.5710080427763299, 0.016420177059420782, -0.11470108625860528, 50080000000, 
-0.5686092836068739, 0.016549572005731077, -0.11421276543945313, 50182000000, 
-0.5664228148897786, 0.015284092955170822, -0.11373600941819882, 50284000000, 
-0.5645462719718584, 0.013543372116718485, -0.11330522469790072, 50352000000, 
-0.5627865370426393, 0.012120926157131265, -0.11291704159361841, 50454000000, 
-0.5611233038455657, 0.011409893754308712, -0.11256374085733756, 50556000000, 
-0.559833929438557, 0.00984202534694075, -0.11224958468845081, 50658000000, 
-0.5589516370631281, 0.007238889274792104, -0.11199392468981673, 50760000000, 
-0.5583956086213676, 0.004794402723964734, -0.11181207834153684, 50862000000, 
-0.5579644089246347, 0.0032907604616446338, -0.11168744364060869, 50964000000, 
-0.5575813975388819, 0.0027140369416189802, -0.11159609433899227, 51066000000, 
-0.557664959015542, 0.000998166363642324, -0.11154738436527058, 51168000000, 
