obs_x,obs_y
-5.599999999999999645e+00,-1.959999999999999520e+00
-5.599999999999999645e+00,-2.409999999999999254e+00
-5.599999999999999645e+00,-3.959999999999999520e+00
-5.549999999999999822e+00,5.190000000000000391e+00
-5.549999999999999822e+00,5.140000000000001457e+00
-5.549999999999999822e+00,9.900000000000011013e-01
-5.549999999999999822e+00,9.400000000000003908e-01
-5.549999999999999822e+00,7.400000000000011013e-01
-5.549999999999999822e+00,-1.409999999999999254e+00
-5.549999999999999822e+00,-1.459999999999999520e+00
-5.549999999999999822e+00,-1.859999999999999432e+00
-5.549999999999999822e+00,-1.909999999999999698e+00
-5.549999999999999822e+00,-2.409999999999999254e+00
-5.549999999999999822e+00,-3.959999999999999520e+00
-5.500000000000000000e+00,5.190000000000000391e+00
-5.500000000000000000e+00,5.140000000000001457e+00
-5.500000000000000000e+00,9.900000000000011013e-01
-5.500000000000000000e+00,9.400000000000003908e-01
-5.500000000000000000e+00,7.400000000000011013e-01
-5.500000000000000000e+00,-1.409999999999999254e+00
-5.500000000000000000e+00,-1.459999999999999520e+00
-5.500000000000000000e+00,-1.909999999999999698e+00
-5.500000000000000000e+00,-2.409999999999999254e+00
-5.500000000000000000e+00,-3.959999999999999520e+00
-5.449999999999999289e+00,5.190000000000000391e+00
-5.449999999999999289e+00,5.140000000000001457e+00
-5.449999999999999289e+00,9.900000000000011013e-01
-5.449999999999999289e+00,9.400000000000003908e-01
-5.449999999999999289e+00,7.400000000000011013e-01
-5.449999999999999289e+00,-1.409999999999999254e+00
-5.449999999999999289e+00,-1.459999999999999520e+00
-5.449999999999999289e+00,-1.909999999999999698e+00
-5.449999999999999289e+00,-2.359999999999999432e+00
-5.449999999999999289e+00,-2.409999999999999254e+00
-5.449999999999999289e+00,-3.959999999999999520e+00
-5.400000000000000355e+00,5.190000000000000391e+00
-5.400000000000000355e+00,5.140000000000001457e+00
-5.400000000000000355e+00,9.900000000000011013e-01
-5.400000000000000355e+00,9.400000000000003908e-01
-5.400000000000000355e+00,7.400000000000011013e-01
-5.400000000000000355e+00,-1.409999999999999254e+00
-5.400000000000000355e+00,-1.459999999999999520e+00
-5.400000000000000355e+00,-1.909999999999999698e+00
-5.400000000000000355e+00,-2.409999999999999254e+00
-5.400000000000000355e+00,-3.959999999999999520e+00
-5.349999999999999645e+00,5.190000000000000391e+00
-5.349999999999999645e+00,5.140000000000001457e+00
-5.349999999999999645e+00,9.900000000000011013e-01
-5.349999999999999645e+00,9.400000000000003908e-01
-5.349999999999999645e+00,7.400000000000011013e-01
-5.349999999999999645e+00,-1.409999999999999254e+00
-5.349999999999999645e+00,-1.459999999999999520e+00
-5.349999999999999645e+00,-1.909999999999999698e+00
-5.349999999999999645e+00,-2.409999999999999254e+00
-5.349999999999999645e+00,-3.909999999999999698e+00
-5.349999999999999645e+00,-3.959999999999999520e+00
-5.299999999999999822e+00,5.190000000000000391e+00
-5.299999999999999822e+00,5.140000000000001457e+00
-5.299999999999999822e+00,5.090000000000000746e+00
-5.299999999999999822e+00,5.040000000000000036e+00
-5.299999999999999822e+00,4.990000000000001101e+00
-5.299999999999999822e+00,4.940000000000000391e+00
-5.299999999999999822e+00,4.890000000000001457e+00
-5.299999999999999822e+00,4.790000000000000036e+00
-5.299999999999999822e+00,4.740000000000001101e+00
-5.299999999999999822e+00,4.690000000000000391e+00
-5.299999999999999822e+00,9.900000000000011013e-01
-5.299999999999999822e+00,9.400000000000003908e-01
-5.299999999999999822e+00,7.400000000000011013e-01
-5.299999999999999822e+00,-1.359999999999999432e+00
-5.299999999999999822e+00,-1.409999999999999254e+00
-5.299999999999999822e+00,-1.459999999999999520e+00
-5.299999999999999822e+00,-1.909999999999999698e+00
-5.299999999999999822e+00,-2.409999999999999254e+00
-5.299999999999999822e+00,-3.959999999999999520e+00
-5.250000000000000000e+00,5.140000000000001457e+00
-5.250000000000000000e+00,5.090000000000000746e+00
-5.250000000000000000e+00,5.040000000000000036e+00
-5.250000000000000000e+00,4.990000000000001101e+00
-5.250000000000000000e+00,4.940000000000000391e+00
-5.250000000000000000e+00,4.890000000000001457e+00
-5.250000000000000000e+00,4.840000000000000746e+00
-5.250000000000000000e+00,4.790000000000000036e+00
