imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.04108619543905134, 0.009134499113684632, -0.013687517098024668, 9.298731465835768e-11, -0.00047172060686935134, -1.9712370692364438e-07, -1.9999413056533482, -0.5000010521257778, 33043000000, 
-0.02164677212064128, -0.0012125704787911906, -0.016583272051509043, -6.99092129697341e-11, -0.0012851385355644059, 5.4398192128782006e-08, -1.9999274504168307, -0.5000010521180618, 33144000000, 
-0.05736180263915206, -0.0062709593263374054, -0.031702069650820196, -1.845819571047278e-08, -0.005708043084213585, 3.2337169566084e-06, -1.9996098801447801, -0.5000010520027923, 33239000000, 
-0.0902260743261207, 0.006829088223105074, -0.05389595062746142, 9.236642518718389e-08, -0.007210017106302324, -1.2810846885015819e-05, -1.9992958926541906, -0.5000010506869973, 33340000000, 
-0.08110964195464608, 0.008139271303281612, -0.0640952002590687, 2.5424616290724285e-07, -0.008329719425506494, -3.052277632890177e-05, -1.9990424815369303, -0.5000010469216448, 33440000000, 
-0.0824451829971578, 0.006242626341208386, -0.07086534842405075, 3.662227881086301e-07, -0.009375302157665388, -3.906250507448454e-05, -1.9988426897499492, -0.5000010423651844, 33541000000, 
-0.050562752583109806, -0.009498344979310186, -0.06259584408676803, -1.0102047086366636e-07, -0.009500644266124868, 1.063301267092602e-05, -1.9987842644886729, -0.5000010485011841, 33636000000, 
-0.05148446042184163, 0.0017159947981962344, -0.057914729455627804, 5.266391265717042e-10, -0.009298889645549688, -5.663462484725216e-08, -1.9987778403743537, -0.5000010457910755, 33737000000, 
-0.09243902674029408, -0.01899562519425671, -0.07099850440970457, -6.840020642844494e-07, -0.009924924137364493, 6.891761134066283e-05, -1.9986853741470396, -0.500001060955413, 33838000000, 
-0.04816182774782097, -0.00694931132692477, -0.061723923424729904, -6.765507292498577e-07, -0.009786587809841076, 6.913039993056009e-05, -1.9986877195289636, -0.5000010670194511, 33940000000, 
-0.06213584614018235, 0.022956875288423308, -0.061519040738921275, 4.393183895667038e-07, -0.009664209152843427, -4.545828661390741e-05, -1.9986883293540871, -0.5000010476291513, 34035000000, 
-0.046542045515780534, 0.015450939876344195, -0.05533311914940843, 7.953822904641859e-07, -0.009238113516547082, -8.609791263546575e-05, -1.9987276904249909, -0.5000010360569006, 34135000000, 
-0.04231092169175851, 0.00985220539602329, -0.04992897821117987, 7.6660344199814e-07, -0.008690616205289894, -8.821048172988192e-05, -1.9987890478749915, -0.5000010283156088, 34235000000, 
-0.04192403845501008, 0.020922702007857463, -0.04650393408941496, 1.01181291935189e-06, -0.008104507747228862, -0.00012484569709959924, -1.9988452668669197, -0.5000010109741335, 34335000000, 
-0.0802994956558289, 0.02214838485784123, -0.059358808940109725, 1.242115385851167e-06, -0.008500813733251716, -0.00014611723357641849, -1.9988034054884096, -0.5000009933314121, 34435000000, 
-0.07111814486755072, 0.010083296882607668, -0.06360509075556198, 1.0997706093176944e-06, -0.008982583514984245, -0.00012243366370967977, -1.9987478264572702, -0.5000009834999122, 34535000000, 
-0.04097496453184511, 0.010735558690812975, -0.05444630286807503, 9.903016782244508e-07, -0.008823665120655882, -0.00011223246402520311, -1.9987699414714277, -0.5000009706424128, 34630000000, 
-0.03903353367513143, -0.005804772923400708, -0.04812808605194317, 4.005629782203341e-07, -0.00825852801384203, -4.850295083445317e-05, -1.998818072052552, -0.5000009680783472, 34732000000, 
