e, e_dot, e_int, stamp, 
-1.3045385418535131, -0.5731275946349523, -0.23798260458530454, 126476000000, 
-1.3342625114664965, -0.672207493344897, -0.25142675445220247, 126578000000, 
-1.3578465782692726, -0.1776934547191981, -0.2664431754392855, 126680000000, 
-1.3673721046566207, -0.11036531063374729, -0.2706320796261593, 126748000000, 
-1.3546991624020002, 0.010491386224241358, -0.2719945230218596, 126850000000, 
-1.347120996015771, 0.0675036954694989, -0.27127948420495945, 126952000000, 
-1.3473321288218105, 0.02455677860063214, -0.2699434858159721, 127054000000, 
-1.348425801711855, -0.004349352320280146, -0.2695252617699624, 127156000000, 
-0.8633893812163729, 1.6131424920181254, -0.23727648745000257, 127258000000, 
-0.8334392357532364, 1.7166218865287288, -0.20301696124543092, 127360000000, 
-0.8043301719334568, 0.1968640309430536, -0.16674391926020438, 127462000000, 
-0.7755956148055405, 0.19281206982565302, -0.16089100149948224, 127564000000, 
-0.7851064145314198, 0.06407919134012323, -0.1576688134180278, 127666000000, 
-0.8018470270444, -0.08750470746286505, -0.15750327042542403, 127768000000, 
-0.7953443861897295, -0.03412657219436547, -0.15881985518436995, 127870000000, 
-0.7865442510197993, 0.05100925341533576, -0.1589157109502619, 127972000000, 
-0.7827071817838798, 0.04212401468616567, -0.15763972126622725, 128040000000, 
-0.7751689416130745, 0.03791769802241607, -0.15629469162778356, 128142000000, 
-0.7673303676918096, 0.05125604697356715, -0.15501376607258427, 128244000000, 
-0.7607186631155537, 0.04816759499173595, -0.1535478648280292, 128346000000, 
-0.7539680739490869, 0.044540979142408954, -0.15213447365043004, 128448000000, 
-0.7470233060159323, 0.04565119033207147, -0.15078066953870484, 128550000000, 
-0.7412275059849669, 0.04246855988040014, -0.1494812590633324, 128652000000, 
-0.7362143155553907, 0.03602996820180504, -0.14829767517041934, 128754000000, 
-0.7316215023633524, 0.03202001207204819, -0.14727088826024734, 128856000000, 
-0.7286445343361644, 0.025232604064087855, -0.14643202348366052, 128958000000, 
-0.726708509516135, 0.016376642824058225, -0.14579830308104344, 129060000000, 
-0.7259568296076335, 0.008959015761769532, -0.14542065823066216, 129162000000, 
-0.7244008661215887, 0.007692144648487516, -0.14513774701635715, 129264000000, 
