node_index,neighbors...
0,613,603,720,127,350,408,407,426,87
1,587,26,76,362,239,314,450,496,743
2,299,492,47,69,147,244,125,300,151
3,218,16,660,589,91,217,426,152,29
4,188,430,230,442,663,219,586
5,11,364,378,155,478,591,578,575
6,371,196,404,161,772,203,411,118,199
7,281,410,243,100,56,764,213,295,235
8,142,614,181,558,74,165,687,397,669
9,750,770,435,536,447,449,436,156,768
10,748,392,414,247,346,352,502,446
11,5,364,575,478,378
12,212,792,448,137,629,425
13,320,551,491,354,656,784,665,396,502
14,391,367,714,99,109
15,597,742,120,286,322,405,144,686,479
16,589,3,218,660,91,29,33,517,217
17,353,576,471,516,301,75,30,309,703
18,146,260,629,307,417,448,137,41,749
19,275,230,45,443,673,518,165,397,181
20,767,394,252,759,52,382,249,648
21,523,210,658,649,675,344
22,537,427,445,55,32,66,325,513,163
23,437,149,263,56,215,789,295,100,180
24,285,468,283,722,719,775
25,332,459,158,621,390,160,86,504,121
26,76,239,450,314,753,1,92,587,716
27,141,180,646,472,148,215,360,722,552
28,441,583,318,406,208,201,179,771,645
29,517,589,623,33,565,801,16,660,287
30,706,516,471,576,157,134,703,585,17
31,740,692,616,733,357,137,231,474,790
32,445,55,325,513,606,22,612,475,609
33,782,632,557,287,91,589,29,16,517
34,162,292,628,303
35,480,715,182,330,466,780,615,498,433
36,581,539,267,559,131,574,774,625,328
37,191,455,678,63,504,627,106,543,510
38,679,546,618,532,759,246
39,321,503,369,580,389,105,717,451,749
40,198,229,483,595,64,752,104,166,547
41,417,670,528,260,425,520,146,18,464
42,647,305,376,278,144,686,535
43,500,383,234,388,421,386,126,115,173
44,704,454,718,48,577,403,747
45,165,518,181,275,19,397,558,142,673
46,563,150,362,587,619,774,96,1,631
47,492,147,244,125,300,2,69,151,299
48,704,403,577,747,44,461,454,113
49,495,290,431,689,273,163,291,207,151
50,253,300,207,151,69,147,492,282,47
51,339,93,476,255,788,400,501,481,585
52,648,394,20,522,252,640,348,521
53,280,130,631,96,518,150,443,539,574
54,457,377,375,799,470,727,399,118,203
55,445,32,513,325,22,606,612,475,609
56,410,295,281,243,7,635,100,149,23
57,571,412,469,719,745,122,511,101,360
58,354,82,396,665,551,636,320,13,656
59,512,582,90,685,707,258,169,560,794
60,654,164,213,232,186,567,524,153,246
61,463,561,607,566,235,251,526,153,777
62,439,702,718,282,454,69,299,747,541
63,510,543,455,504,37,758,738,106,191
64,547,752,104,776,483,85,197,205,40
65,691,374,409,460,688,270,674,132,507
66,537,22,644,445,427,32,55,84
67,154,712,356,622,268,189,527,416,709
68,343,140,289,721,731,257,393,387,248
69,492,299,300,47,2,147,50,253,702
70,139,306,345,798,634,485,72,694,500
71,570,769,250,261,700,183,763,379
72,694,634,729,798,345,126,697,421,592
73,186,272,567,342,153,60,262,240
74,486,175,669,796,8,338,351,200,277
75,192,17,481,506,81,788,501,353,617
76,26,239,450,314,753,1,92,587,716
77,108,593,201,771,211,620,583,179,28
78,132,773,626,385,111,674,269,409,458
79,693,527,356,67,562,467,730,584,349
80,744,89,434,651,600,94,424,521,522
81,413,75,192,250,506,763,592,71,617
82,665,354,58,656,551,13,320,396
83,266,528,670,655
84,644,103,542,291,163,537,427
85,205,776,440,245,547,64,190,248,778
86,166,160,104,332,121,525,197,25,390
87,187,127,97,791,350,684,264,603,548
88,638,690,609,254,612,475,110,519,465
89,80,744,766,94,651,435,424,434
