imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.03842731981269248, 0.020654813939540276, -0.017070056869372845, 2.7036751580783944e-10, -0.0005565314213529953, -4.85808178001061e-07, -1.9999216434725116, -0.5000005334232718, 1169000000, 
-0.035606656796579386, 0.00023079240065472365, -0.02551064446410427, 1.4981815176091009e-09, -0.001610352171750532, -9.303440228111743e-07, -1.9998880059772344, -0.5000005334104044, 1249000000, 
-0.01563744209193046, 0.0019957957875264484, -0.020768118048758714, 8.246107274499963e-09, -0.003332187562619519, -2.474682808076231e-06, -1.9997862434060774, -0.5000005333523262, 1349000000, 
-0.03565818281217721, -0.022041783844010107, -0.027359610967571186, -1.4460690725553756e-07, -0.0045205446699956246, 3.198882387234048e-05, -1.999762292907436, -0.5000005353098265, 1449000000, 
-0.05705714976211601, -0.027598408816804865, -0.040893646713942806, -3.4331454414457205e-07, -0.0045769195381577844, 7.500995839720541e-05, -1.999609804035383, -0.5000005403410398, 1546000000, 
-0.043301344577939854, 0.011482754156758557, -0.04183431888189688, -7.384912535980803e-08, -0.004668937726397827, 1.5817115088571554e-05, -1.9995177613968849, -0.5000005387158484, 1646000000, 
-0.03698774871036673, 0.015397777952584077, -0.03942522669382246, 1.1410881266304721e-07, -0.0046199315202823865, -2.4699243303085255e-05, -1.999478234451267, -0.5000005370776797, 1746000000, 
-0.050615977061377514, 0.001698945796183341, -0.04443766770893366, 7.871991046671109e-08, -0.004747224428038457, -1.6582302282101712e-05, -1.9994301513550705, -0.5000005374687376, 1846000000, 
-0.048377445105767185, 0.01360181698815957, -0.04608585352901216, 1.8873239214951047e-07, -0.004926287807410482, -3.8311280121637515e-05, -1.9993857965521706, -0.5000005352156709, 1942000000, 
-0.058739985272753044, -0.007292010890880733, -0.0517567382176027, 1.6851048140152188e-08, -0.00525216186742268, -3.208402285670847e-06, -1.9993272499347305, -0.5000005358361503, 2043000000, 
-0.0693417068017433, -0.01775292530682377, -0.05969315801817622, -2.447395867683483e-07, -0.005847078080411827, 4.1856733124232634e-05, -1.9992517481742533, -0.5000005377318476, 2138000000, 
-0.06077415880676134, -0.024107470746421226, -0.0599732064500343, -5.561047486109153e-07, -0.0063437331280511286, 8.76620654409145e-05, -1.999201746579729, -0.5000005418416191, 2239000000, 
-0.07025388674790374, 0.021666440789148977, -0.06449998134683022, 1.178775600393111e-07, -0.00683098423513803, -1.7256306848573662e-05, -1.9991618329754508, -0.5000005369563115, 2334000000, 
-0.01779210480476749, -0.0014942202444319095, -0.04265633045473367, 3.2656231535608475e-08, -0.006281617796476593, -5.19869762753245e-06, -1.999228793942088, -0.5000005395712442, 2434000000, 
-0.06632415182194029, 0.02321663036797227, -0.05340417603540885, 4.3261975686385463e-07, -0.006134766977028327, -7.051934629038103e-05, -1.999254221083846, -0.500000534939552, 2534000000, 
-0.030952720590301512, -0.01261034403657789, -0.04281203593834955, 1.3554711625158204e-08, -0.00569728842472428, -2.3791513812668143e-06, -1.9992962779739587, -0.5000005388025777, 2634000000, 
-0.05741210168564624, 0.003205970324630856, -0.0493763732023868, 5.453083206745486e-08, -0.005616585198409865, -9.708894308750682e-06, -1.9993069077988284, -0.5000005372957358, 2734000000, 
-0.04784608988661105, 0.008172401743051831, -0.04847186172288294, 1.4650398350292257e-07, -0.005579938379413941, -2.6255484118502013e-05, -1.9993042794916127, -0.5000005351635821, 2834000000, 
-0.011524743049630339, -0.007479399872319919, -0.031191519682923406, -2.7440624056624718e-08, -0.004837008548232158, 5.673056762873364e-06, -1.999368918871303, -0.5000005370962274, 2934000000, 
-0.06293349455477475, 0.0020156369378051477, -0.04571957905385789, 4.443708663976606e-09, -0.004784403115227894, -9.287906050042233e-07, -1.9993623966903271, -0.5000005360956312, 3039000000, 
-0.09707329540417359, 0.032555944600003044, -0.069291060834967, 4.3132036896580723e-07, -0.00594548578436697, -7.254585825432781e-05, -1.999243737824757, -0.5000005300081546, 3134000000, 
-0.019431744004690242, -0.003258083221296693, -0.04599717065122456, 1.815635901246799e-07, -0.005980867235987202, -3.0357401855069106e-05, -1.9992466169139789, -0.500000530850309, 3234000000, 
-0.03680697005276873, -0.014741993731174869, -0.041551350807572066, -1.3313780785575503e-07, -0.005530197398490983, 2.407469358907227e-05, -1.9993013882444255, -0.5000005328576075, 3339000000, 
-0.04517429585935719, -0.01240003843373533, -0.04304560570254643, -2.3564481117127172e-07, -0.005278345869006029, 4.4643685165641914e-05, -1.999332625552046, -0.5000005342260804, 3439000000, 
-0.06550051649675541, -0.007190666001239301, -0.05296209329267207, -3.351500919785648e-07, -0.008039857535661478, 4.168607347729457e-05, -1.9992203340692576, -0.500000535482909, 3539000000, 
-0.05256107517319118, -0.031199019061827163, -0.05247973465541638, -9.786792659358044e-07, -0.007043141576671281, 0.00013895493300566966, -1.9991327984764768, -0.500000552616829, 3629000000, 
-0.05374871454574444, 0.013613526627581122, -0.052824338071815864, -1.9926930876143126e-07, -0.0065463023510161054, 3.0439979407688222e-05, -1.9990877684871176, -0.5000005485445622, 3724000000, 
-0.07515215508111103, -0.009568345602616444, -0.06292449947252723, -3.048992128321421e-07, -0.006734306352853772, 4.527551864386688e-05, -1.9990141754671515, -0.5000005546107056, 3829000000, 
-0.07848371703599777, 0.0023469253884254365, -0.06987650887587343, -1.2101734915310298e-07, -0.007278594281204155, 1.6626472705809635e-05, -1.998935677045478, -0.500000554653138, 3929000000, 
-0.08028070577513281, 0.0250279655813696, -0.07442213061014182, 5.934539938675477e-07, -0.007838317091154618, -7.571191455589982e-05, -1.9988673319731136, -0.5000005463839065, 4024000000, 
-0.06596989225901312, 0.01065581637713981, -0.07022971115300468, 6.343908665164841e-07, -0.00799994342230955, -7.92994191368091e-05, -1.9988430488824342, -0.5000005431210954, 4129000000, 
-0.04716730971494379, 0.0047765632444085986, -0.059284161855527845, 4.5543651703900616e-07, -0.007584824781690887, -6.0045753217449483e-05, -1.9988788267241908, -0.5000005416102955, 4229000000, 
-0.03952002989940536, -0.011495591291036224, -0.04989306823362406, -5.697347201589254e-08, -0.006822285857060402, 8.351082497801019e-06, -1.998947743957805, -0.5000005457644221, 4329000000, 
-0.07930021497944093, -0.004253404792573047, -0.06327119351269911, -1.2269723570063903e-07, -0.006860822859893405, 1.7883749253736797e-05, -1.998942554965543, -0.5000005447567354, 4429000000, 
-0.060387774471483746, -0.010943573006320895, -0.06169414356824759, -3.0896407426510256e-07, -0.006996318083740155, 4.416095302801524e-05, -1.9989304737523248, -0.5000005469937064, 4529000000, 
-0.03418982277963235, -0.0014025999007793123, -0.048730885077983954, -1.8366296115062203e-07, -0.006542314912389868, 2.8073084773525683e-05, -1.9989800330161702, -0.5000005481460439, 4629000000, 
-0.04155723290049093, 0.004602649273844268, -0.04520141219385437, -6.840562214528117e-09, -0.005955110670798368, 1.14868767226639e-06, -1.999036669565368, -0.5000005486283472, 4729000000, 
-0.048947723242035834, 0.01003580120942234, -0.046738034513882476, 1.52456230230966e-07, -0.005653222476821493, -2.696802237238044e-05, -1.9990639671305739, -0.5000005476010836, 4834000000, 
-0.08806718666529476, 0.013747562772750176, -0.065656632377549, 3.167292380331609e-07, -0.0062786539694906955, -5.04454043131243e-05, -1.998999479461896, -0.5000005437552325, 4929000000, 
-0.052441602558790365, -0.012412599025618686, -0.05930687977169234, -5.918459920128419e-08, -0.006623689030111304, 8.935292543510251e-06, -1.9989661781595385, -0.5000005459697306, 5029000000, 
-0.06940640611046697, 0.060981522736578725, -0.06374416520191267, 1.2593754087207843e-06, -0.006901020030756437, -0.0001824911974038628, -1.9989399061991016, -0.5000005285042396, 5129000000, 
-0.07155749559875521, -0.005276608475538, -0.06711091840465094, 5.869893992798592e-07, -0.00723439063194212, -8.113874811903514e-05, -1.9989066228049874, -0.5000005289209879, 5231000000, 
-0.06396453469037476, -0.00570575307690185, -0.06539661419721132, 1.8031277166424263e-07, -0.007385592504243095, -2.4414124061224767e-05, -1.9988906884288347, -0.5000005272465158, 5326000000, 
-0.054614476146654566, 0.0016233575204570665, -0.06015167064450208, 1.3436538449148053e-07, -0.00722554335813035, -1.8595886541915143e-05, -1.9989043737978118, -0.5000005236029521, 5426000000, 
-0.04932262798253452, -0.0016241309774447455, -0.054897039836224626, 3.1121218058504084e-08, -0.006872343463406107, -4.528472452551087e-06, -1.9989393997863425, -0.5000005218880167, 5528000000, 
